time_created,perf_folder_name,bridge_node_ip,Name/Id,Total/IOs,W_IOPS,W_BW,W_Lat,W_Avg OIO,W_Avg Size,W_Rand %,W_Err,R_IOPS,R_BW,R_Lat,R_Avg OIO,R_Avg Size,R_Rand %,R_Err,R_Zero %,R_Cache %,R_Hydra %,R_SSD %,R_FAA %
2026-01-30 16:30:33,perf-stats-20260130-110001,10.222.61.89,10907017373:TestAndDev:6,29813,496.88,71.1,299.0,1.04,146.5,85.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 16:30:32,perf-stats-20260130-110001,10.222.61.88,10907017373:TestAndDev:6,55061,917.68,50.4,1913.0,1.76,56.3,86.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 15:15:34,perf-stats-20260130-094501,10.222.61.87,10907017373:TestAndDev:6,47292,788.2,41.5,4534.0,3.57,54.0,86.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 15:15:38,perf-stats-20260130-094501,10.222.61.86,10907017373:TestAndDev:6,43817,730.28,36.8,3176.0,2.32,51.7,85.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 15:15:37,perf-stats-20260130-094501,10.222.61.89,10907017373:TestAndDev:6,30432,507.2,67.9,4910.0,2.49,137.1,83.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 15:15:41,perf-stats-20260130-094501,10.222.61.88,10907017373:TestAndDev:6,51331,855.52,43.3,460.0,3.47,51.9,86.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 16:15:28,perf-stats-20260130-104502,10.222.61.87,10907017373:TestAndDev:6,57046,950.77,50.6,1986.0,1.89,54.5,87.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 16:15:34,perf-stats-20260130-104502,10.222.61.86,10907017373:TestAndDev:6,59230,987.17,50.5,1753.0,1.73,52.4,87.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 16:15:33,perf-stats-20260130-104502,10.222.61.89,10907017373:TestAndDev:6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30 16:15:34,perf-stats-20260130-104502,10.222.61.88,10907017373:TestAndDev:6,57446,957.43,50.9,1875.0,1.8,54.5,86.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
